ESTADÍSTICO,ORIN,DESCRIPCIÓN,PRECIO REGULAR,PRECIO PLUS,PRECIO MEDIANO AYER,% DTO,ALERTA PRECIO 1,ALERTA PRECIO 2,IVA,PRECIO APP ,APP % DTO,VENTA Q REGULAR DIARIA,VENTA Q PROMO DIARIA,VENTA ESTIMADA DIARIA,ESTIMADO DE VENTA,ACELERACIÓN,VALOR ESTIMADO DE VENTA ,ESTIMADO CERCANIAS,GO,ALERTA FORECAST,CANTIDAD POR INNER,LOCALES ACTIVOS* Q INNER,ALERTA INNER,STOCK UNIDADES,ALERTA COMPRA,COSTO SIN IVA REGULAR,DESCUENTO COMPRA,COSTO SIN IVA OFERTA,VIGENCIA DESCUENTO,% SELL OUT,VENTA AL COSTO SIN IVA,COSTO FINAL CON PROMO,MARGEN GB1 PROMO,MARGEN GB1 TEÓRICO,INV PUNTOS PORCENTUALES,INVERSIÓN TATA,RETORNO ACUERDO,COSTO FINAL PROMO CON RETORNO,MARGEN GB2,Precio con 20% BBVA Comunidad Plus - OFERTATA,Status Comercial ,Observaciones,
162858000,1000039332,TOALLITAS HUMEDAS DE LIMPIEZ WETCLEA 1.00 U 2020202,60,40,59,"33,33%",,,22%,,"100,00%",10,44,143,2.000,"2,2",80.000,,,REVISAR,15,1.110,,59,COMPRAR,"37,89",25%,"$28,43",,,56.860,"$28,43","13,29%","22,96%","-9,67%","-29,01%","25,50%","$21,18","35,40%",32,PONER STATUS,,
166164000,1000525062,TOALLITAS FRESQUITAS,89,50,102,"43,82%",,,22%,,"100,00%",19,505,714,10.000,"418,1",500.000,,,,24,1.800,,102,COMPRAR,"29,90",0%,"$29,90",,,,"$29,90","27,04%","59,01%","-31,97%","-72,96%","25,90%","$22,16","45,94%",40,,,
165115000,1000040363,TOALLA LADYSOFT CLASICA 8 UD,68,40,,"41,18%",,,22%,,"100,00%",1.382,1.440,1.786,25000,"11,0",1.000.000,,,,36,2.916,,63,COMPRAR,"37,69",25%,"$28,27",,,,"$28,27","13,78%","32,38%","-18,60%","-45,16%",,"$28,27","13,78%",32,,,
,,,,,,0,,,,,,,,0,,,0,,,,,0,,,,,,"$0,00",,,,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,,,
,,,,,,0,,,,,,,,0,,,0,,,,,0,,,,,,"$0,00",,,,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,,,
,,2 unidades x 35,44,35,,"20,45%",,,22%,,"100,00%",,,0,,,0,,,,,0,,,,"24,26","10,00%","$21,83",,,0,"$21,83","23,89%","32,73%","-8,84%","-43,22%",,"$21,83","23,89%",28,PONER STATUS,,
162869000,1000039334,PA?UELO ELITE 10 UD,22,18,21,"20,45%",,,22%,,"100,00%",76,197,429,6.000,"1,5",105.000,,,REVISAR,27,2.160,,21,COMPRAR,"12,13","10,00%","$10,92",,,65.502,"$10,92","23,89%","32,73%","-8,84%","-43,22%","20,75%","$8,65","39,69%",14,PONER STATUS,,
,,LIMPIEZA,,,,0,,,,,,,,0,,,0,,,,,0,,,,,,"$0,00",,,,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,,,
141335000,1000149480,DETERGENTE CONCENTRADO NEVEX ULTRA LIMON 300 ML,69,45,65,"34,78%",,,10%,,"100,00%",132,843,786,11.000,"13,1",495.000,,,,12,972,,65,COMPRAR,"47,66","33,25%","$31,81",,,349.944,"$31,81","22,23%","24,02%","-1,79%","-5,13%",,"$31,81","22,23%",36,PONER STATUS,,
141384000,1000155704,DETERGENTE CONCENTRADO NEVEX ULTRA GLICERINA 300 ML,69,45,65,"34,78%",,,10%,,"100,00%",83,625,571,8.000,"13,4",360.000,,,,12,888,,65,COMPRAR,"47,66","33,25%","$31,81",,,254.504,"$31,81","22,23%","24,02%","-1,79%","-5,13%",,"$31,81","22,23%",36,PONER STATUS,,
141642000,1000292633,LIMPIADOR FRESCURA CITRICA OKEY 900ML,45,30,45,"33,33%",,,22%,,"100,00%",146,643,571,8.000,"6,3",240.000,,,,15,1.110,,45,COMPRAR,"21,48","35,00%","$13,96",,,111.696,"$13,96","43,22%","41,77%","1,46%","4,37%",,"$13,96","43,22%",24,PONER STATUS,,
141643000,1000292634,LIMPIADOR FRESCURA NATURAL OKEY 900ML,45,30,45,"33,33%",,,22%,,"100,00%",181,722,686,9.600,"6,2",288.000,,,,15,1.110,,45,COMPRAR,"21,48","35,00%","$13,96",,,134.035,"$13,96","43,22%","41,77%","1,46%","4,37%",,"$13,96","43,22%",24,PONER STATUS,,
141206000,1000510792,DETERGENTE LAVAVAJILLAS OKEY LIMON 1 L,59,45,59,"23,73%",,,10%,,"100,00%",126,575,629,8.800,"67,0",396.000,,,,12,888,,59,COMPRAR,"33,50","20,00%","$26,80",,,235.840,"$26,80","34,49%","37,54%","-3,05%","-12,87%",,"$26,80","34,49%",36,PONER STATUS,,
141202000,1000510790,AGUA LAVANDINA OKEY 1 L,65,40,65,"38,46%",,,22%,,"100,00%",99,271,379,5.300,"52,8",212.000,,,,15,1.110,,65,COMPRAR,"20,59","40,00%","$12,35",,,65.476,"$12,35","62,32%","61,35%","0,97%","2,51%",,"$12,35","62,32%",32,PONER STATUS,,
141208000,1000510793,JABON LIQUIDO PARA ROPA PLUMA 450 ML,59,30,59,"49,15%",,,10%,,"100,00%",44,70,93,1.300,"37,9",39.000,,,,24,1.776,REVISAR,59,COMPRAR,"34,80","45,00%","$19,14",,,24.882,"$19,14","29,82%","35,12%","-5,30%","-10,78%",,"$19,14","29,82%",24,PONER STATUS,,
145887000,1000027036,JABON EN BARRA CONEJO COCO Y GLICERINA 200 G,59,45,59,"23,73%",,,10%,,"100,00%",43,190,200,2.800,"2,7",126.000,,,,40,1.080,,59,COMPRAR,"33,57","25,00%","$25,18",,,70.497,"$25,18","38,46%","37,41%","1,04%","4,40%",,"$25,18","38,46%",36,PONER STATUS,,
141200000,1000510789,SUAVIZANTE PLUMA MATINAL 700 ML DOY PACK,40,30,49,"25,00%",,,22%,,"100,00%",61,217,300,4.200,"57,9",126.000,,,,15,1.095,,49,COMPRAR,"21,42","20,00%","$17,14",,,71.971,"$17,14","30,31%","34,67%","-4,36%","-17,42%",,"$17,14","30,31%",24,PONER STATUS,,
141024000,1000461753,FIBRA ESPONJA ECOESPONJA X 3 U,45,30,50,"33,33%",,,22%,,"100,00%",21,47,43,600,"5,0",18.000,,,,12,888,REVISAR,50,COMPRAR,"19,50","25,00%","$14,63",,,8.775,"$14,63","40,53%","47,13%","-6,61%","-19,83%",,"$14,63","40,53%",24,PONER STATUS,,
141019000,1000461751,ROLLITOS DE ALUMINIO ZIP X 6,45,30,50,"33,33%",,,22%,,"100,00%",27,92,71,1.000,"6,6",30.000,,,,12,888,,50,COMPRAR,"19,50","25,00%","$14,63",,,14.625,"$14,63","40,53%","47,13%","-6,61%","-19,83%",,"$14,63","40,53%",24,PONER STATUS,,
140699000,1000437889,MULTIPANO ECOESPONJA X 1U,45,30,50,"33,33%",,,22%,,"100,00%",35,127,114,1.600,"5,5",48.000,,,,12,900,,50,COMPRAR,"24,00","25,00%","$18,00",,,28.800,"$18,00","26,80%","34,93%","-8,13%","-24,40%",,"$18,00","26,80%",24,PONER STATUS,,
140306000,1000025836,PASTILLA INODORO CLICK FLORAL 40 G,55,45,55,"18,18%",,,22%,,"100,00%",38,123,79,1.100,"10,3",49.500,,,,12,972,,55,COMPRAR,"29,38","20,00%","$23,50",,,25.854,"$23,50","36,28%","34,83%","1,45%","7,97%",,"$23,50","36,28%",36,PONER STATUS,,
140305000,1000025835,PASTILLA INODORO PINO CLICK 40 G,55,45,55,"18,18%",,,22%,,"100,00%",42,140,100,1.400,"9,0",63.000,,,,12,972,,55,COMPRAR,"29,38","20,00%","$23,50",,,32.906,"$23,50","36,28%","34,83%","1,45%","7,97%",,"$23,50","36,28%",36,PONER STATUS,,
140302000,1000025833,PASTILLA INODORO LAVANDA CLICK 40 G,55,45,55,"18,18%",,,22%,,"100,00%",80,210,150,2.100,"9,6",94.500,,,,12,972,,55,COMPRAR,"29,38","20,00%","$23,50",,,49.358,"$23,50","36,28%","34,83%","1,45%","7,97%",,"$23,50","36,28%",36,PONER STATUS,,
140675000,1000437535,BOL ROLLO BAGU RESIDUO 50X55 AD  NEGRO ROLLOS 10UNIDADES,60,30,30,"50,00%",REVISAR,REVISAR,22%,,"100,00%",530,1.272,1.000,14.000,"4,0",420.000,,,,80,6.480,,30,COMPRAR,"11,72","0,00%","$11,72",,,164.080,"$11,72","52,34%","76,17%","-23,83%","-47,66%",,"$11,72","52,34%",24,PONER STATUS,,
141796000,1000338371,JABON EN POLVO GIRANDO SOL ROSA 400 G,56,45,50,"19,64%",,REVISAR,10%,,"100,00%",25,288,286,4.000,"9,5",180.000,,,,30,2.160,,50,COMPRAR,"39,09","20,00%","$31,27",,,125.088,"$31,27","23,56%","23,22%","0,34%","1,74%",,"$31,27","23,56%",36,PONER STATUS,,
141797000,1000338372,JABON EN POLVO GIRANDO SOL AZUL 400 G,56,45,50,"19,64%",,REVISAR,10%,,"100,00%",23,288,286,4.000,"8,0",180.000,,,,30,2.190,,50,COMPRAR,"39,09","20,00%","$31,27",,,125.088,"$31,27","23,56%","23,22%","0,34%","1,74%",,"$31,27","23,56%",36,PONER STATUS,,
141600000,1000524731,SUAVIZANTE PLUMA VIOLETAS Y JAZMIN PLUMA 700 ML DOY PACK,40,30,40,"25,00%",,,22%,,"100,00%",65,165,107,1.500,"48,3",45.000,,,,15,1.125,,40,COMPRAR,"21,42","20,00%","$17,14",,,25.704,"$17,14","30,31%","34,67%","-4,36%","-17,42%",,"$17,14","30,31%",24,PONER STATUS,,
141128000,1000501028,TOALLA PAPEL NOBLE X2,65,40,65,"38,46%",,,22%,,"100,00%",348,2.202,1.714,24.000,"33,5",960.000,,1,,15,1.215,,65,COMPRAR,"31,15","25,39%","$23,24",,,557.784,"$23,24","29,11%","41,53%","-12,42%","-32,29%",,"$23,24","29,11%",32,PONER STATUS,,
141232000,1000026344,PAPEL HIGIENICO NOBLE 30 M X 4,59,40,58,"32,20%",,,22%,,"100,00%",527,1.968,1.500,21.000,"57,4",840.000,,1,,12,972,,58,COMPRAR,"33,92","6,00%","$31,88",,,669.581,"$31,88","2,75%","29,86%","-27,11%","-84,18%",,"$31,88","2,75%",32,PONER STATUS,,
145793000,1000026954,SERVILLETA COCKTAIL BCA ELITE X50,59,40,50,"32,20%",,REVISAR,22%,,"100,00%",56,82,57,800,"1,7",32.000,,,,48,3.888,REVISAR,50,COMPRAR,"29,49","14,99%","$25,07",,,20.056,"$25,07","23,54%","39,02%","-15,48%","-48,08%",,"$25,07","23,54%",32,PONER STATUS,,
,,,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
,,NON FOOD,,,,0,,,22%,,0,,,0,,,0,,,,,0,,,,,,"$0,00",,,0,"$0,00",#DIV/0!,#DIV/0!,,,,"$0,00",#DIV/0!,0,PONER STATUS,,
131212000,1000283073,ENCENDEDOR A+ X 1 UNIDAD,49,40,49,"18,37%",REVISAR,,22%,,"100,00%",58,67,893,12500,,500.000,,,REVISAR,25,2.000,,49,COMPRAR,"14,7",,"$14,70",,,183.750,"$14,70","55,17%","63,40%","-8,24%","-44,84%",,"$14,70","55,17%",32,PONER STATUS,,
130428000,1000524823,LÁMPARA EVEREADY LED 6W LUZ CALIDA,79,50,79,"36,71%",,,22%,,"100,00%",11,,0,,,0,,,,40,3.240,,79,,,,"$0,00",,,0,"$0,00","100,00%","100,00%","0,00%","0,00%",,"$0,00","100,00%",40,PONER STATUS,,
130436000,1000524825,LÁMPARA EVEREADY LED 6W LUZ FRIA,79,50,79,"36,71%",,,22%,,"100,00%",10,,0,,,0,,,,40,3.240,,79,,,,"$0,00",,,0,"$0,00","100,00%","100,00%","0,00%","0,00%",,"$0,00","100,00%",40,PONER STATUS,,
